SalesID,ProductID,StoreID,CustomerID,EmployeeID,DeliveryAddressID,PackageTypeID,PaymentTypeID,PromotionID,UnitPrice,Quantity,OrderDate,DeliveryDate,Discount
1,21,3,85,5,1,7,1,,14,12,7/4/2017 0:00,7/16/2017 0:00,0
2,66,3,85,5,1,7,1,,9.8,10,7/4/2017 0:00,7/16/2017 0:00,0
3,117,3,85,5,1,7,1,,34.8,5,7/4/2017 0:00,7/16/2017 0:00,0
4,25,3,79,6,50,4,3,13,18.6,9,7/5/2017 0:00,7/10/2017 0:00,0
5,26,3,79,6,50,4,3,13,18.6,9,7/5/2017 0:00,7/10/2017 0:00,0
6,80,3,79,6,50,4,3,13,42.4,40,7/5/2017 0:00,7/10/2017 0:00,0
7,69,3,34,4,61,4,3,13,7.7,10,7/8/2017 0:00,7/12/2017 0:00,0
8,80,3,34,4,61,4,3,13,42.4,35,7/8/2017 0:00,7/12/2017 0:00,0.15
9,109,3,34,4,61,4,3,13,16.8,15,7/8/2017 0:00,7/12/2017 0:00,0.15
10,40,3,84,3,12,1,2,13,16.8,6,7/8/2017 0:00,7/15/2017 0:00,0.05
11,90,3,84,3,12,1,2,13,15.6,15,7/8/2017 0:00,7/15/2017 0:00,0.05
12,109,3,84,3,12,1,2,13,16.8,20,7/8/2017 0:00,7/15/2017 0:00,0
13,36,3,76,4,14588,6,4,13,64.8,40,7/9/2017 0:00,7/11/2017 0:00,0.05
14,54,3,76,4,14588,6,4,13,2,25,7/9/2017 0:00,7/11/2017 0:00,0.05
15,99,3,76,4,14588,6,4,13,27.2,40,7/9/2017 0:00,7/11/2017 0:00,0
16,100,3,76,4,14588,6,4,13,27.2,40,7/9/2017 0:00,7/11/2017 0:00,0
17,51,3,34,3,1203,6,1,13,10,20,7/10/2017 0:00,7/16/2017 0:00,0
18,52,3,34,3,1203,6,1,13,10,20,7/10/2017 0:00,7/16/2017 0:00,0
19,64,3,34,3,1203,6,1,13,14.4,42,7/10/2017 0:00,7/16/2017 0:00,0
20,78,3,34,3,1203,6,1,13,16,40,7/10/2017 0:00,7/16/2017 0:00,0
21,41,3,14,5,14416,1,3,13,3.6,15,7/11/2017 0:00,7/23/2017 0:00,0.15
22,88,3,14,5,14416,1,3,13,19.2,21,7/11/2017 0:00,7/23/2017 0:00,0.15
23,120,3,14,5,14416,1,3,13,8,21,7/11/2017 0:00,7/23/2017 0:00,0
24,7,3,68,9,273,4,2,13,15.2,20,7/12/2017 0:00,7/15/2017 0:00,0
25,29,3,68,9,273,4,2,13,13.9,35,7/12/2017 0:00,7/15/2017 0:00,0
26,58,3,68,9,273,4,2,13,15.2,25,7/12/2017 0:00,7/15/2017 0:00,0
27,97,3,68,9,273,4,2,13,44,30,7/12/2017 0:00,7/15/2017 0:00,0
28,86,3,88,3,1903,1,1,13,26.2,15,7/15/2017 0:00,7/17/2017 0:00,0
29,124,3,88,3,1903,1,1,13,10.4,12,7/15/2017 0:00,7/17/2017 0:00,0
30,46,3,35,4,2803,1,4,13,35.1,25,7/16/2017 0:00,7/22/2017 0:00,0
31,64,3,35,4,2803,1,4,13,14.4,6,7/16/2017 0:00,7/22/2017 0:00,0
32,124,3,35,4,2803,1,4,13,10.4,15,7/16/2017 0:00,7/22/2017 0:00,0
33,7,3,20,1,90,4,2,13,15.2,50,7/17/2017 0:00,7/23/2017 0:00,0.2
34,11,3,20,1,90,4,2,13,17,65,7/17/2017 0:00,7/23/2017 0:00,0.2
35,53,3,20,1,90,4,2,13,25.6,6,7/17/2017 0:00,7/23/2017 0:00,0.2
36,37,3,13,4,10023,1,3,13,8,10,7/18/2017 0:00,7/25/2017 0:00,0
37,62,3,13,4,10023,1,3,13,20.8,1,7/18/2017 0:00,7/25/2017 0:00,0
38,69,3,56,4,932,4,1,13,7.7,16,7/19/2017 0:00,7/29/2017 0:00,0.25
39,90,3,56,4,932,4,1,13,15.6,50,7/19/2017 0:00,7/29/2017 0:00,0
40,104,3,56,4,932,4,1,13,39.4,15,7/19/2017 0:00,7/29/2017 0:00,0.25
41,115,3,56,4,932,4,1,13,12,21,7/19/2017 0:00,7/29/2017 0:00,0.25
42,37,3,61,4,2305,1,4,13,8,20,7/19/2017 0:00,7/30/2017 0:00,0
43,57,3,61,4,2305,1,4,13,14.4,20,7/19/2017 0:00,7/30/2017 0:00,0
44,11,3,65,8,70,4,1,13,17,12,7/22/2017 0:00,7/25/2017 0:00,0.2
45,16,3,65,8,70,4,1,13,24,15,7/22/2017 0:00,7/25/2017 0:00,0
46,89,3,65,8,70,4,1,13,30.4,2,7/22/2017 0:00,7/25/2017 0:00,0
47,29,3,20,9,9320,1,4,13,13.9,60,7/23/2017 0:00,7/31/2017 0:00,0.25
48,41,3,20,9,9320,1,4,13,3.6,28,7/23/2017 0:00,7/31/2017 0:00,0
49,49,3,20,9,9320,1,4,13,20.7,60,7/23/2017 0:00,7/31/2017 0:00,0.25
50,120,3,20,9,9320,1,4,13,8,36,7/23/2017 0:00,7/31/2017 0:00,0.25
51,7,3,24,6,5902,3,2,13,15.2,35,7/24/2017 0:00,8/23/2017 0:00,0
52,69,3,24,6,5902,3,2,13,7.7,25,7/24/2017 0:00,8/23/2017 0:00,0.15
53,32,3,7,2,19,1,1,13,31.2,30,7/25/2017 0:00,8/12/2017 0:00,0
54,115,3,7,2,19,1,1,13,12,20,7/25/2017 0:00,8/12/2017 0:00,0
55,22,3,87,3,9328,7,3,13,30.4,12,7/26/2017 0:00,7/31/2017 0:00,0.05
56,65,3,25,4,5307,1,1,13,14.7,50,7/29/2017 0:00,8/6/2017 0:00,0
57,97,3,25,4,5307,1,1,13,44,70,7/29/2017 0:00,8/6/2017 0:00,0.15
58,123,3,25,4,5307,1,1,13,14.4,15,7/29/2017 0:00,8/6/2017 0:00,0.15
59,48,3,33,8,1206,4,4,13,99,10,7/30/2017 0:00,8/2/2017 0:00,0
60,117,3,33,8,1206,4,4,13,27.8,4,7/30/2017 0:00,8/2/2017 0:00,0
